DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region/Country
99840;SVALBARD LUFTHAVN;Oct 1964;;28;78.2453;15.5015;NA;SVALBARD;NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAX;Maximum temperature;degC


Quality information for calculated values
Explanation;Level
OK;0
OK;1
Slightly uncertain;2
Slightly uncertain;3
Slightly uncertain;4
Very uncertain;5
Very uncertain, modeldata;6
Erroneous;7

Number of;NA;16224;6;16224;2;16224;2
Minimum;NA;-43.6;NA;-46.3;NA;-37.1;NA
Date;NA;03.03.1986;;04.03.1986;;28.02.1979;
Maximum;NA;15.4;;11.9;;21.3;
Date;NA;22.07.1998;;01.08.2015;;16.07.1979;
Total;NA;NA;;NA;;NA;
Mean;NA;-4.7;;-7.2;;-1.9;


--------------------------------------------
Data valid for 30.03.2020  (CC BY 3.0), Norwegian Meteorological Institute

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Erroneous' (Level 7 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAX;fTAX
99840;01.08.1975;4.1;2;2.3;2;5.8;2
99840;02.08.1975;4.5;2;3.5;2;5.6;2
99840;03.08.1975;5.0;2;4.4;2;6.3;2
99840;04.08.1975;6.4;2;4.4;2;7.9;2
99840;05.08.1975;3.4;2;2.4;2;7.0;2
99840;06.08.1975;5.4;2;2.4;2;7.6;2
99840;07.08.1975;5.8;2;3.6;2;9.0;2
99840;08.08.1975;9.1;2;4.1;2;12.2;2
99840;09.08.1975;5.9;2;4.9;2;11.8;2
99840;10.08.1975;7.0;2;5.2;2;7.9;2
99840;11.08.1975;10.0;2;6.6;2;13.9;2
99840;12.08.1975;7.0;2;5.2;2;11.1;2
99840;13.08.1975;7.5;2;4.5;2;10.8;2
99840;14.08.1975;4.2;2;4.1;2;9.8;2
99840;15.08.1975;4.4;2;3.8;2;6.6;2
99840;16.08.1975;4.6;2;4.0;2;5.6;2
99840;17.08.1975;4.7;2;3.7;2;7.0;2
99840;18.08.1975;2.5;2;2.0;2;5.5;2
99840;19.08.1975;4.0;2;2.2;2;5.9;2
99840;20.08.1975;4.0;2;2.6;2;5.3;2
99840;21.08.1975;3.6;2;3.1;2;5.3;2
99840;22.08.1975;3.7;2;2.5;2;6.4;2
99840;23.08.1975;3.2;2;2.5;2;4.5;2
99840;24.08.1975;4.4;2;3.3;2;5.3;2
99840;25.08.1975;4.8;2;3.5;2;8.1;2
99840;26.08.1975;4.8;2;3.6;2;6.1;2
99840;27.08.1975;5.3;2;5.1;2;7.5;2
99840;28.08.1975;4.6;2;2.2;2;6.4;2
99840;29.08.1975;5.0;2;3.5;2;6.2;2
99840;30.08.1975;4.6;2;3.4;2;6.4;2
99840;31.08.1975;3.4;2;2.9;2;5.1;2
99840;01.09.1975;2.7;2;2.1;2;4.2;2
99840;02.09.1975;2.6;2;1.0;2;4.2;2
99840;03.09.1975;1.6;2;0.7;2;3.4;2
99840;04.09.1975;3.0;2;-0.7;2;4.7;2
99840;05.09.1975;2.7;2;0.9;2;4.5;2
99840;06.09.1975;1.5;2;1.0;2;3.9;2
99840;07.09.1975;1.1;2;0.6;2;2.1;2
99840;08.09.1975;-1.9;2;-2.6;2;0.8;2
99840;09.09.1975;-1.4;2;-3.4;2;-0.3;2
99840;10.09.1975;-2.1;2;-5.0;2;0.0;2
99840;11.09.1975;0.0;2;-3.1;2;2.1;2
99840;12.09.1975;2.8;2;1.6;2;4.2;2
99840;13.09.1975;-0.1;2;-0.5;2;3.7;2
